POS,PLAYER,Mat,Inns,Runs,HS,Avg,BF,SR,100,50,4s,Ov,Wkts,BBI,Avg,Econ,SR,4w,5w
1,KLRahul,9,9,525,132*,75,387,135.65,1,5,45,,,,,,,,
2,Mayank Agarwal,9,9,393,106,43.66,247,159.1,1,2,39,,,,,,,,
3,Faf du Plessis,10,10,375,87*,46.87,265,141.5,0,4,36,,,,,,,,
4,Shikhar Dhawan,9,9,359,101*,51.28,251,143.02,1,2,39,,,,,,,,
5,Virat Kohli,9,9,347,90*,57.83,272,127.57,0,2,18,,,,,,,,
6,David Warner,9,9,331,60,41.37,266,124.43,0,2,27,,,,,,,,
7,Quinton de Kock,9,9,322,78*,40.25,220,146.36,0,4,29,,,,,,,,
8,Shreyas Iyer,9,9,321,88*,40.12,243,132.09,0,2,24,,,,,,,,
9,Jonny Bairstow,9,9,316,97,35.11,245,128.97,0,3,26,,,,,,,,
10,Shubman Gill,9,9,311,70*,38.87,273,113.91,0,2,29,,,,,,,,
11,Devdutt Padikkal,9,9,296,63,32.88,241,122.82,0,3,28,,,,,,,,
12,AB de Villiers,9,9,285,73*,57,150,190,0,4,21,,,,,,,,
13,Shane Watson,10,10,285,83*,31.66,228,125,0,2,32,,,,,,,,
14,Jos Buttler,9,9,262,70*,32.75,182,143.95,0,2,22,,,,,,,,
15,Rohit Sharma,9,9,260,80,28.88,201,129.35,0,2,22,,,,,,,,
16,Ambati Rayudu,8,7,250,71,41.66,202,123.76,0,1,20,,,,,,,,
17,Eoin Morgan,9,9,248,44,41.33,187,132.62,0,0,15,,,,,,,,
18,Steve Smith,10,10,246,69,27.33,190,129.47,0,3,23,,,,,,,,
19,Suryakumar Yadav,9,9,243,79*,30.37,164,148.17,0,2,34,,,,,,,,
20,Nicholas Pooran,9,9,242,77,34.57,133,181.95,0,1,15,,,,,,,,
21,Sanju Samson,10,10,236,85,23.6,150,157.33,0,2,10,,,,,,,,
22,Rahul Tewatia,10,9,222,53,44.4,153,145.09,0,1,11,,,,,,,,
23,Marcus Stoinis,9,9,217,53*,31,133,163.15,0,2,19,,,,,,,,
24,Manish Pandey,9,9,212,54,23.55,172,123.25,0,2,18,,,,,,,,
25,Kieron Pollard,9,7,208,60*,208,104,200,0,1,10,,,,,,,,
26,Aaron Finch,9,9,205,52,22.77,179,114.52,0,1,20,,,,,,,,
27,Prithvi Shaw,9,9,202,66,22.44,137,147.44,0,2,22,,,,,,,,
28,Ravindra Jadeja,10,9,194,50,48.5,118,164.4,0,1,19,,,,,,,,
29,Ishan Kishan,7,6,193,99,32.16,136,141.91,0,1,7,,,,,,,,
30,Nitish Rana,9,9,184,58,20.44,137,134.3,0,1,20,,,,,,,,
31,Kane Williamson,7,7,181,57,36.2,124,145.96,0,1,18,,,,,,,,
32,Rishabh Pant,6,6,176,38,35.2,132,133.33,0,0,18,,,,,,,,
33,Rahul Tripathi,6,6,167,81,27.83,124,134.67,0,1,16,,,,,,,,
34,Hardik Pandya,9,9,164,30*,27.33,102,160.78,0,0,12,,,,,,,,
35,MS Dhoni,10,9,164,47*,27.33,131,125.19,0,0,11,,,,,,,,
36,Dinesh Karthik,9,9,141,58,17.62,101,139.6,0,1,17,,,,,,,,
37,Robin Uthappa,8,8,128,41,16,115,111.3,0,0,14,,,,,,,,
38,Pat Cummins,9,7,126,53*,31.5,78,161.53,0,1,9,,,,,,,,
39,Sam Curran,10,9,121,31,17.28,80,151.25,0,0,7,,,,,,,,
40,Priyam Garg,9,7,106,51*,17.66,80,132.5,0,1,9,,,,,,,,
41,Shivam Dube,8,6,102,27*,25.5,75,136,0,0,3,,,,,,,,
42,Andre Russell,9,8,92,24,11.5,70,131.42,0,0,8,,,,,,,,
43,Shimron Hetmyer,6,5,91,45,30.33,61,149.18,0,0,2,,,,,,,,
44,Jofra Archer,10,8,91,27*,18.2,47,193.61,0,0,4,,,,,,,,
45,Tom Curran,5,4,83,54*,83,62,133.87,0,1,5,,,,,,,,
46,Krunal Pandya,9,7,82,34,27.33,64,128.12,0,0,8,,,,,,,,
47,Ben Stokes,4,4,80,41,20,71,112.67,0,0,12,,,,,,,,
48,Chris Gayle,2,2,77,53,38.5,66,116.66,0,1,2,,,,,,,,
49,Abdul Samad,5,5,71,23,23.66,44,161.36,0,0,5,,,,,,,,
50,Washington Sundar,9,4,70,30,17.5,62,112.9,0,0,6,,,,,,,,
51,Riyan Parag,8,6,66,42*,13.2,58,113.79,0,0,4,,,,,,,,
52,Saurabh Tiwary,2,2,63,42,31.5,44,143.18,0,0,4,,,,,,,,
53,Abhishek Sharma,7,6,63,31,15.75,51,123.52,0,0,6,,,,,,,,
54,Kedar Jadhav,8,5,62,26,20.66,66,93.93,0,0,7,,,,,,,,
55,Mahipal Lomror,3,3,59,47,19.66,54,109.25,0,0,2,,,,,,,,
56,Glenn Maxwell,9,8,58,13*,11.6,63,92.06,0,0,5,,,,,,,,
57,Axar Patel,8,5,56,21*,14,32,175,0,0,3,,,,,,,,
58,Sunil Narine,6,5,44,17,8.8,40,110,0,0,3,,,,,,,,
59,Krishnappa Gowtham,2,2,42,22*,42,27,155.55,0,0,3,,,,,,,,
60,Yashasvi Jaiswal,3,3,40,34,13.33,44,90.9,0,0,2,,,,,,,,
61,Sarfaraz Khan,5,3,33,14*,16.5,29,113.79,0,0,5,,,,,,,,
62,Mandeep Singh,3,3,33,27,11,23,143.47,0,0,0,,,,,,,,
63,Narayan Jagadeesan,1,1,33,33,33,28,117.85,0,0,4,,,,,,,,
64,Murali Vijay,3,3,32,21,10.66,43,74.41,0,0,4,,,,,,,,
65,Alex Carey,3,3,32,14*,16,29,110.34,0,0,0,,,,,,,,
66,Wriddhiman Saha,1,1,30,30,30,31,96.77,0,0,1,,,,,,,,
67,Chris Morris,4,1,25,25*,-,8,312.5,0,0,1,,,,,,,,
68,Ajinkya Rahane,3,3,25,15,8.33,34,73.52,0,0,4,,,,,,,,
69,Rashid Khan,9,5,24,14,12,22,109.09,0,0,2,,,,,,,,
70,Nathan Coulter-Nile,2,1,24,24*,-,12,200,0,0,4,,,,,,,,
71,Deepak Hooda,2,1,23,23*,-,16,143.75,0,0,1,,,,,,,,
72,Gurkeerat Mann Singh,4,1,19,19*,-,17,111.76,0,0,1,,,,,,,,
73,Vijay Shankar,4,3,19,12,6.33,18,105.55,0,0,0,,,,,,,,
74,Navdeep Saini,9,2,18,12*,18,19,94.73,0,0,2,,,,,,,,
75,Chris Jordan,5,3,18,13,9,14,128.57,0,0,2,,,,,,,,
76,Kagiso Rabada,9,3,17,15*,-,10,170,0,0,1,,,,,,,,
77,Karun Nair,4,3,16,15*,8,14,114.28,0,0,2,,,,,,,,
78,Harshal Patel,4,1,16,16,16,15,106.66,0,0,1,,,,,,,,
79,Simran Singh,2,2,15,11,7.5,15,100,0,0,2,,,,,,,,
80,Kamlesh Nagarkoti,6,4,15,8*,7.5,17,88.23,0,0,1,,,,,,,,
81,Shreyas Gopal,10,4,14,6,3.5,16,87.5,0,0,1,,,,,,,,
82,Mohammad Nabi,1,1,11,11*,-,8,137.5,0,0,2,,,,,,,,
83,Moeen Ali,1,1,11,11,11,13,84.61,0,0,1,,,,,,,,
84,James Pattinson,7,1,11,11,11,8,137.5,0,0,2,,,,,,,,
85,Isuru Udana,7,2,11,10*,11,8,137.5,0,0,0,,,,,,,,
86,Sandeep Sharma,6,3,10,9,10,9,111.11,0,0,1,,,,,,,,
87,Shivam Mavi,7,3,10,9,5,14,71.42,0,0,1,,,,,,,,
88,Jaydev Unadkat,7,1,9,9,9,13,69.23,0,0,0,,,,,,,,
89,Ankit Rajpoot,4,2,9,7*,9,10,90,0,0,0,,,,,,,,
90,Tom Banton,1,1,8,8,8,12,66.66,0,0,0,,,,,,,,
91,Varun Chakravarthy,8,2,8,7*,8,11,72.72,0,0,0,,,,,,,,
92,Jimmy Neesham,3,1,7,7,7,7,100,0,0,0,,,,,,,,
93,Dwayne Bravo,6,2,7,7,3.5,6,116.66,0,0,0,,,,,,,,
94,Ravi Bishnoi,9,2,7,6*,7,12,58.33,0,0,1,,,,,,,,
95,Deepak Chahar,10,2,7,5*,-,7,100,0,0,0,,,,,,,,
96,Andrew Tye,1,1,6,6,6,6,100,0,0,0,,,,,,,,
97,Anrich Nortje,9,2,6,3*,-,3,200,0,0,0,,,,,,,,
98,Ruturaj Gaikwad,2,2,5,5,2.5,11,45.45,0,0,0,,,,,,,,
99,Shahbaz Nadeem,1,1,5,5,5,5,100,0,0,1,,,,,,,,
100,Mohammed Siraj,3,1,5,5,5,4,125,0,0,1,,,,,,,,
,KagisoRabada,9,9,274,,,,,,,,35.4,19,Apr-24,14.42,7.68,11.26,1,0
,Jasprit Bumrah,9,9,268,,,,,,,,36,15,Apr-20,17.86,7.44,14.4,1,0
,Mohammad Shami,9,9,298,,,,,,,,34.4,14,Mar-15,21.28,8.59,14.85,0,0
,Yuzvendra Chahal,10,10,268,,,,,,,,39.4,13,Mar-19,20.61,6.75,18.3,0,0
,Anrich Nortje,9,9,260,,,,,,,,34,13,Mar-18,20,7.64,15.69,0,0
,Trent Boult,9,9,279,,,,,,,,36,12,Mar-33,23.25,7.75,18,0,0
,Rashid Khan,9,9,299,,,,,,,,35.2,12,Feb-26,24.91,8.46,17.66,0,0
,Rahul Chahar,9,9,199,,,,,,,,36,11,03-Dec,18.09,5.52,19.63,0,0
,T Natarajan,9,9,237,,,,,,,,32,11,Feb-18,21.54,7.4,17.45,0,0
,Deepak Chahar,9,9,295,,,,,,,,34.5,11,Feb-24,26.81,8.46,19,0,0
,Sam Curran,10,10,270,,,,,,,,38,10,Feb-18,27,7.1,22.8,0,0
,Chris Morris,10,10,289,,,,,,,,34,10,Mar-33,28.9,8.5,20.4,0,0
,Ravi Bishnoi,4,4,84,,,,,,,,16,9,Apr-26,9.33,5.25,10.66,1,0
,James Pattinson,9,9,253,,,,,,,,32,9,Mar-29,28.11,7.9,21.33,0,0
,Shardul Thakur,7,7,216,,,,,,,,26.1,9,Feb-19,24,8.25,17.44,0,0
,Khaleel Ahmed,7,7,222,,,,,,,,26,9,Feb-28,24.66,8.53,17.33,0,0
,Axar Patel,6,6,211,,,,,,,,21.4,8,Feb-24,26.37,9.73,16.25,0,0
,Ravichandran Ashwin,8,8,151,,,,,,,,27,7,Feb-18,21.57,5.59,23.14,0,0
,Varun Chakravarthy,7,7,158,,,,,,,,22,7,02-Feb,22.57,7.18,18.85,0,0
,Rahul Tewatia,8,8,234,,,,,,,,32,7,Feb-25,33.42,7.31,27.42,0,0
,Shreyas Gopal,10,10,229,,,,,,,,31,7,Mar-37,32.71,7.38,26.57,0,0
,Shivam Mavi,10,10,311,,,,,,,,38,7,Feb-28,44.42,8.18,32.57,0,0
,Isuru Udana,7,7,197,,,,,,,,22,7,Feb-20,28.14,8.95,18.85,0,0
,Murugan Ashwin,7,7,232,,,,,,,,23,7,Feb-41,33.14,10.08,19.71,0,0
,Kartik Tyagi,4,4,88,,,,,,,,11.3,6,Mar-21,14.66,7.65,11.5,0,0
,Dwayne Bravo,6,6,197,,,,,,,,23,6,Jan-29,32.83,8.56,23,0,0
,Arshdeep Singh,6,6,180,,,,,,,,21,6,Mar-37,30,8.57,21,0,0
,Sheldon Cottrell,4,4,113,,,,,,,,13,6,Feb-33,18.83,8.69,13,0,0
,Piyush Chawla,6,6,176,,,,,,,,20,6,Feb-17,29.33,8.8,20,0,0
,Andre Russell,7,7,191,,,,,,,,21,6,Feb-33,31.83,9.09,21,0,0
,Marcus Stoinis,9,7,175,,,,,,,,18,6,Feb-29,29.16,9.72,18,0,0
,Washington Sundar,9,6,155,,,,,,,,15.4,6,Feb-17,25.83,9.89,15.66,0,0
,Krunal Pandya,9,9,171,,,,,,,,29,5,Feb-16,34.2,5.89,34.8,0,0
,Sunil Narine,9,9,215,,,,,,,,28,5,Feb-26,43,7.67,33.6,0,0
,Sandeep Sharma,6,6,178,,,,,,,,22,5,Feb-28,35.6,8.09,26.4,0,0
,Navdeep Saini,6,6,182,,,,,,,,24,4,Feb-19,45.5,7.58,36,0,0
,Shivam Dube,9,9,276,,,,,,,,34,4,Feb-25,69,8.11,51,0,0
,Karn Sharma,8,4,66,,,,,,,,8,4,Feb-15,16.5,8.25,12,0,0
,Ravindra Jadeja,4,4,130,,,,,,,,15,4,Feb-25,32.5,8.66,22.5,0,0
,Kamlesh Nagarkoti,10,9,246,,,,,,,,26.2,4,Feb-42,61.5,9.34,39.5,0,0
,Jaydev Unadkat,6,6,162,,,,,,,,17,4,Feb-13,40.5,9.52,25.5,0,0
,Prasidh Krishna,7,7,228,,,,,,,,23,4,Feb-32,57,9.91,34.5,0,0
,Lungi Ngidi,3,3,101,,,,,,,,10,4,Mar-29,25.25,10.1,15,0,0
,Lockie Ferguson,2,2,94,,,,,,,,8,4,Mar-38,23.5,11.75,12,0,0
,Bhuvneshwar Kumar,1,1,15,,,,,,,,4,3,Mar-15,5,3.75,8,0,0
,Amit Mishra,4,4,99,,,,,,,,14.1,3,Feb-25,33,6.98,28.33,0,0
,Pat Cummins,3,3,72,,,,,,,,10,3,Feb-35,24,7.2,20,0,0
